order_id,customer_id,product_id,quantity,unit_price,currency,country,order_status,payment_method,order_timestamp
O000028,C00378,P0238,1,64.45,GBP,India,PENDING,Net Banking,2026-05-09 08:51:25
O000029,C00218,P0433,3,425.15,EUR,India,COMPLETED,Credit Card,2026-04-07 17:58:25
O000030,C01146,P0236,5,468.68,USD,UK,PENDING,PayPal,2026-04-25 23:43:25
O000031,C00200,P0052,3,478.74,INR,Canada,CANCELLED,PayPal,2026-03-28 20:49:25
O000032,C01137,P0171,1,103.17,EUR,UK,COMPLETED,Debit Card,2026-04-28 18:44:25
O000033,C00963,P0107,5,472.65,INR,USA,COMPLETED,Credit Card,2026-05-04 06:03:25
O000034,C01168,P0240,1,462.23,INR,Germany,COMPLETED,PayPal,2026-03-04 08:37:25
O000035,C01072,P0190,5,436.96,USD,Canada,PENDING,PayPal,2026-03-13 09:06:25
O000036,C00201,P0418,4,314.86,INR,UK,PENDING,Credit Card,2026-03-10 01:53:25
O000037,C01259,P0310,5,415.15,USD,India,COMPLETED,PayPal,2026-02-21 22:24:25
O000038,C00142,P0324,4,134.6,INR,Canada,COMPLETED,Net Banking,2026-03-20 10:40:25
O000039,C00435,P0206,1,292.67,INR,UK,COMPLETED,Net Banking,2026-03-03 05:22:25
O000040,C01335,P0435,5,342.28,INR,Germany,CANCELLED,Debit Card,2026-02-26 11:01:25
O000041,C00736,P0054,5,372.2,INR,USA,COMPLETED,UPI,2026-03-26 13:20:25
O000042,C00671,P0369,3,37.69,USD,Canada,PENDING,UPI,2026-02-25 11:32:25
O000043,C01042,P0190,2,439.82,GBP,Canada,COMPLETED,Credit Card,2026-04-09 16:20:25
O000044,C00285,P0173,5,341.91,USD,USA,PENDING,Debit Card,2026-03-31 16:54:25
O000045,C01228,P0165,1,291.86,INR,Canada,CANCELLED,Net Banking,2026-02-21 06:41:25
O000046,C00616,P0083,3,105.71,EUR,USA,COMPLETED,Debit Card,2026-04-06 19:20:25
O000047,C01246,P0401,3,303.73,EUR,UK,COMPLETED,Net Banking,2026-02-15 00:01:25
O000048,C00659,P0208,4,371.33,INR,Canada,COMPLETED,PayPal,2026-04-08 12:16:25
O000049,C00426,P0184,5,375.25,GBP,USA,CANCELLED,Net Banking,2026-02-28 22:42:25
O000050,C01306,P0245,3,11.42,GBP,India,PENDING,Debit Card,2026-03-20 02:41:25
O000051,C00861,P0239,3,37.03,INR,Germany,COMPLETED,Credit Card,2026-05-05 02:37:25
O000052,C00079,P0251,1,32.25,GBP,USA,CANCELLED,UPI,2026-04-17 09:01:25
O000053,C00804,P0098,1,108.77,USD,India,CANCELLED,UPI,2026-05-03 03:03:25
O000054,C00279,P0125,2,132.14,EUR,USA,PENDING,Debit Card,2026-03-15 10:11:25
O000055,C00964,P0352,5,389.46,INR,Germany,PENDING,PayPal,2026-03-23 02:03:25
O000056,C00500,P0075,5,116.08,EUR,UK,CANCELLED,PayPal,2026-02-26 08:47:25
O000057,C01262,P0367,1,313.73,GBP,Germany,COMPLETED,Credit Card,2026-03-27 06:34:25
O000058,C00744,P0085,1,20.86,USD,India,COMPLETED,Credit Card,2026-03-13 03:52:25
O000059,C01314,P0227,4,403.76,EUR,India,PENDING,Net Banking,2026-02-24 00:40:25
O000060,C01412,P0078,5,201.44,USD,USA,COMPLETED,Debit Card,2026-03-18 13:03:25
O000061,C00438,P0318,2,161.3,GBP,Canada,CANCELLED,Credit Card,2026-02-14 13:53:25
O000062,C00488,P0304,4,128.32,INR,India,CANCELLED,Net Banking,2026-02-19 06:26:25
O000063,C01453,P0308,5,47.65,INR,India,COMPLETED,Credit Card,2026-02-10 04:55:25
O000064,C00734,P0233,1,117.64,GBP,Germany,CANCELLED,Credit Card,2026-04-14 00:32:25
O000065,C00260,P0449,5,13.73,INR,USA,PENDING,Net Banking,2026-03-08 03:58:25
O000066,C00999,P0317,3,432.83,EUR,USA,COMPLETED,Net Banking,2026-02-26 00:57:25
O000067,C01036,P0211,3,404.41,EUR,Canada,CANCELLED,Debit Card,2026-02-21 18:31:25
O000068,C00901,P0125,1,136.3,USD,USA,PENDING,PayPal,2026-03-29 16:37:25
O000069,C01424,P0179,5,474.43,USD,Germany,COMPLETED,UPI,2026-03-08 08:19:25
O000070,C00337,P0413,2,132.53,USD,UK,COMPLETED,PayPal,2026-03-30 02:17:25
O000071,C00113,P0376,4,139.45,INR,Canada,CANCELLED,Credit Card,2026-03-19 14:50:25
O000072,C00662,P0029,5,499.08,USD,Canada,CANCELLED,Net Banking,2026-03-21 15:31:25
O000073,C00678,P0050,3,332.42,GBP,Germany,CANCELLED,Credit Card,2026-03-15 11:15:25
O000074,C00511,P0055,5,374.89,EUR,Canada,CANCELLED,Net Banking,2026-02-17 18:52:25
O000075,C00770,P0150,5,468.81,USD,India,CANCELLED,UPI,2026-02-11 18:42:25
O000076,C00411,P0061,2,317.01,INR,USA,CANCELLED,Net Banking,2026-03-30 14:55:25
O000077,C00402,P0184,3,432.12,INR,Canada,PENDING,Credit Card,2026-04-21 09:29:25
O000078,C01207,P0146,4,350.19,INR,India,COMPLETED,Net Banking,2026-05-03 04:26:25
O000079,C00753,P0265,1,101.12,USD,USA,PENDING,Credit Card,2026-04-10 07:18:25
O000080,C00742,P0060,4,162.07,INR,Germany,COMPLETED,UPI,2026-05-08 03:57:25
O000081,C00110,P0199,4,365.86,EUR,Germany,COMPLETED,PayPal,2026-03-30 14:19:25
O000082,C01403,P0059,3,27.61,EUR,USA,COMPLETED,Credit Card,2026-03-08 21:08:25
O000083,C00688,P0273,3,173.36,USD,Germany,COMPLETED,Net Banking,2026-02-27 13:18:25
O000084,C01294,P0059,5,236.64,USD,UK,COMPLETED,Net Banking,2026-04-25 01:08:25
O000085,C00740,P0415,5,76.57,USD,USA,CANCELLED,Credit Card,2026-04-05 23:57:25
O000086,C00433,P0371,1,357.93,USD,Canada,CANCELLED,Credit Card,2026-04-27 06:55:25
O000087,C01116,P0048,3,269.02,EUR,UK,COMPLETED,Net Banking,2026-03-02 02:09:25
O000088,C00506,P0096,2,291.4,INR,Canada,CANCELLED,Credit Card,2026-02-20 14:10:25
O000089,C00433,P0358,2,20.73,INR,India,CANCELLED,Credit Card,2026-02-22 09:39:25
O000090,C00591,P0102,3,206.11,INR,Canada,PENDING,UPI,2026-04-12 01:43:25
O000091,C01343,P0399,5,353.92,EUR,India,PENDING,Debit Card,2026-03-18 11:05:25
O000092,C00324,P0355,3,477.09,EUR,India,COMPLETED,PayPal,2026-05-09 19:25:25
O000093,C00667,P0067,1,81.36,USD,UK,CANCELLED,UPI,2026-02-22 02:50:25
O000094,C01140,P0294,3,25.69,INR,UK,PENDING,Net Banking,2026-04-13 12:27:25
O000095,C00332,P0202,5,414.43,GBP,Canada,COMPLETED,PayPal,2026-04-03 15:44:25
O000096,C01421,P0384,5,164.21,EUR,UK,CANCELLED,PayPal,2026-05-03 04:08:25
O000097,C00235,P0160,5,334.3,USD,USA,COMPLETED,PayPal,2026-02-20 13:27:25
O000098,C00506,P0009,3,114.5,GBP,Germany,CANCELLED,Debit Card,2026-04-09 00:11:25
O000099,C00044,P0065,4,144.36,EUR,Germany,COMPLETED,Net Banking,2026-03-10 16:41:25
O000100,C01159,P0221,5,212.42,USD,Germany,PENDING,Credit Card,2026-05-03 19:06:25
O000101,C00683,P0083,2,180.6,EUR,Germany,CANCELLED,Debit Card,2026-04-05 11:13:25
O000102,C00207,P0446,2,381.64,USD,Germany,PENDING,PayPal,2026-03-09 03:29:25
O000103,C01150,P0472,4,96.48,INR,UK,PENDING,PayPal,2026-05-06 06:57:25
O000104,C00491,P0214,4,344.84,USD,USA,CANCELLED,Net Banking,2026-03-05 07:48:25
O000105,C00235,P0319,3,425.44,GBP,Germany,CANCELLED,Debit Card,2026-04-25 06:27:25
O000106,C00432,P0098,1,113.54,EUR,India,CANCELLED,PayPal,2026-03-02 07:50:25
O000107,C00466,P0084,5,261.5,GBP,USA,COMPLETED,Debit Card,2026-05-09 02:00:25
O000108,C01449,P0107,1,82.7,USD,UK,COMPLETED,PayPal,2026-04-09 22:44:25
O000109,C00502,P0399,1,467.13,GBP,USA,CANCELLED,Debit Card,2026-02-17 22:28:25
O000110,C01093,P0393,5,269.48,INR,Canada,COMPLETED,Debit Card,2026-03-03 06:24:25
O000111,C01452,P0019,3,351.44,EUR,UK,PENDING,Credit Card,2026-03-24 09:59:25
O000112,C00113,P0063,1,283.62,USD,Germany,CANCELLED,Net Banking,2026-02-28 16:14:25
O000113,C00374,P0188,1,206.34,EUR,UK,COMPLETED,Net Banking,2026-03-14 00:13:25
O000114,C00250,P0052,3,62.37,EUR,UK,PENDING,UPI,2026-04-02 10:26:25
O000115,C00425,P0366,1,314.89,GBP,Germany,CANCELLED,Net Banking,2026-03-13 00:22:25
O000116,C01054,P0330,4,12.49,GBP,USA,COMPLETED,Debit Card,2026-05-06 05:37:25
O000117,C00589,P0147,2,320.18,GBP,Germany,CANCELLED,Net Banking,2026-03-02 06:29:25
O000118,C00571,P0499,2,431.2,INR,Germany,PENDING,UPI,2026-02-22 22:21:25
O000119,C00016,P0308,4,144.61,USD,USA,COMPLETED,Credit Card,2026-04-25 14:19:25
O000120,C00711,P0018,2,134.96,GBP,USA,CANCELLED,PayPal,2026-04-23 23:44:25
O000121,C00821,P0383,5,498.4,INR,Germany,COMPLETED,Debit Card,2026-04-12 13:06:25
O000122,C00019,P0279,2,62.54,EUR,India,CANCELLED,Net Banking,2026-02-26 10:46:25
O000123,C01030,P0024,2,334.87,GBP,Germany,PENDING,Debit Card,2026-03-25 01:36:25
O000124,C00650,P0155,3,412.91,USD,USA,CANCELLED,UPI,2026-03-16 20:53:25
O000125,C01338,P0443,3,48.16,GBP,Canada,PENDING,UPI,2026-02-11 00:54:25
O000126,C00658,P0112,3,209.85,GBP,Germany,COMPLETED,Net Banking,2026-02-17 00:01:25
O000127,C00364,P0186,3,217.9,EUR,India,COMPLETED,UPI,2026-05-03 14:30:25
O000128,C00862,P0303,4,39.5,EUR,Germany,CANCELLED,PayPal,2026-04-03 01:20:25
O000129,C00697,P0111,5,246.65,EUR,India,PENDING,PayPal,2026-02-18 03:02:25
O000130,C01447,P0369,2,470.71,GBP,Canada,PENDING,Net Banking,2026-03-15 14:07:25
O000131,C00096,P0143,5,56.52,USD,UK,CANCELLED,Credit Card,2026-03-16 13:15:25
O000132,C00583,P0120,5,249.05,GBP,USA,COMPLETED,Credit Card,2026-04-30 13:06:25
O000133,C00180,P0052,1,384.21,EUR,USA,PENDING,Net Banking,2026-02-10 00:54:25
O000134,C01297,P0478,3,201.18,INR,Germany,COMPLETED,Credit Card,2026-03-24 11:22:25
O000135,C00393,P0372,2,200.8,INR,USA,COMPLETED,Net Banking,2026-03-14 10:04:25
O000136,C00466,P0229,4,62.04,INR,UK,PENDING,PayPal,2026-04-06 13:14:25
O000137,C00383,P0277,4,64.49,GBP,Germany,PENDING,UPI,2026-02-15 10:08:25
O000138,C00641,P0346,4,292.34,USD,UK,COMPLETED,UPI,2026-02-24 10:35:25
O000139,C00732,P0466,4,53.48,EUR,Canada,COMPLETED,Net Banking,2026-05-01 11:00:25
O000140,C01175,P0350,3,272.92,INR,USA,COMPLETED,PayPal,2026-04-20 18:01:25
O000141,C00794,P0309,1,357.98,EUR,UK,COMPLETED,UPI,2026-05-01 22:28:25
O000142,C01371,P0067,4,469.54,GBP,Germany,CANCELLED,Net Banking,2026-03-23 14:24:25
O000143,C00210,P0228,5,75.31,INR,Germany,PENDING,PayPal,2026-04-28 10:23:25
O000144,C01267,P0353,5,210.71,USD,Germany,PENDING,PayPal,2026-02-23 12:12:25
O000145,C01147,P0191,3,40.34,EUR,Germany,PENDING,Net Banking,2026-02-24 01:35:25
O000146,C00949,P0322,2,212.53,USD,UK,CANCELLED,Debit Card,2026-04-24 12:37:25
O000147,C00349,P0237,4,362.56,GBP,USA,COMPLETED,Net Banking,2026-02-12 11:28:25
O000148,C01403,P0293,3,298.98,GBP,Germany,CANCELLED,UPI,2026-03-09 00:40:25
O000149,C00855,P0161,5,351.01,INR,Canada,COMPLETED,Debit Card,2026-03-10 15:25:25
O000150,C00036,P0292,5,228.21,INR,USA,COMPLETED,Debit Card,2026-03-17 12:39:25
O000151,C00997,P0184,3,186.25,EUR,India,PENDING,UPI,2026-03-15 13:54:25
O000152,C01087,P0204,3,101.28,INR,USA,CANCELLED,Credit Card,2026-03-28 13:57:25
O000153,C01363,P0327,4,58.77,EUR,Germany,CANCELLED,Net Banking,2026-05-02 09:15:25
O000154,C00114,P0342,5,427.77,INR,India,CANCELLED,Credit Card,2026-04-06 16:22:25
O000155,C00896,P0452,4,142.67,EUR,Germany,CANCELLED,Net Banking,2026-04-14 15:25:25
O000156,C01043,P0289,3,497.25,GBP,Germany,CANCELLED,PayPal,2026-02-28 16:45:25
O000157,C00648,P0424,1,245.04,EUR,UK,COMPLETED,UPI,2026-02-14 19:42:25
O000158,C01203,P0255,1,462.4,USD,UK,PENDING,UPI,2026-04-01 07:27:25
O000159,C00495,P0222,4,120.93,USD,UK,CANCELLED,Net Banking,2026-02-26 14:33:25
O000160,C00443,P0106,4,332.99,GBP,Canada,CANCELLED,Net Banking,2026-03-20 19:31:25
O000161,C00093,P0127,3,105.67,INR,India,PENDING,Net Banking,2026-05-05 21:25:25
O000162,C00067,P0446,5,380.59,GBP,Canada,COMPLETED,Net Banking,2026-04-30 10:46:25
O000163,C00354,P0328,2,472.53,USD,Germany,PENDING,Credit Card,2026-04-02 16:31:25
O000164,C01335,P0163,3,23.0,USD,USA,PENDING,Net Banking,2026-02-25 11:10:25
O000165,C01101,P0098,4,390.16,EUR,India,COMPLETED,Debit Card,2026-04-13 10:43:25
O000166,C00766,P0462,5,499.96,EUR,USA,PENDING,Net Banking,2026-04-14 21:38:25
O000167,C00966,P0169,3,351.83,INR,Canada,CANCELLED,UPI,2026-03-23 02:47:25
O000168,C01479,P0257,3,103.68,GBP,USA,COMPLETED,PayPal,2026-04-12 15:26:25
O000169,C00898,P0181,3,274.01,USD,Canada,PENDING,PayPal,2026-05-03 17:04:25
O000170,C00693,P0145,2,47.18,USD,UK,PENDING,Credit Card,2026-03-26 10:55:25
O000171,C01478,P0261,2,112.21,INR,India,COMPLETED,UPI,2026-04-11 16:26:25
O000172,C00722,P0260,3,20.33,USD,Germany,PENDING,UPI,2026-04-04 14:43:25
O000173,C01322,P0481,1,209.58,GBP,USA,PENDING,UPI,2026-02-25 02:46:25
O000174,C00959,P0182,5,428.98,EUR,USA,CANCELLED,Debit Card,2026-04-26 03:24:25
O000175,C00033,P0430,2,100.33,EUR,India,PENDING,Debit Card,2026-03-04 01:06:25
O000176,C00722,P0163,2,480.62,GBP,India,COMPLETED,Debit Card,2026-03-14 10:33:25
O000177,C01240,P0044,2,194.56,GBP,Germany,PENDING,Net Banking,2026-05-02 05:15:25
O000178,C01450,P0410,3,324.8,GBP,Germany,COMPLETED,Net Banking,2026-03-27 12:26:25
O000179,C00248,P0441,2,23.65,GBP,Canada,CANCELLED,PayPal,2026-04-30 22:21:25
O000180,C01005,P0406,1,348.33,USD,India,CANCELLED,PayPal,2026-04-27 01:49:25
O000181,C00303,P0176,5,96.68,INR,Canada,PENDING,Credit Card,2026-03-07 07:58:25
O000182,C01263,P0217,1,12.33,GBP,Germany,CANCELLED,Debit Card,2026-03-05 01:26:25
O000183,C00535,P0031,4,329.56,INR,India,COMPLETED,Debit Card,2026-02-09 17:24:25
O000184,C00422,P0310,1,131.25,INR,Germany,CANCELLED,Debit Card,2026-05-09 09:40:25
O000185,C00046,P0070,4,137.83,GBP,USA,COMPLETED,Debit Card,2026-04-08 09:51:25
O000186,C00249,P0316,3,75.54,EUR,India,COMPLETED,Debit Card,2026-02-19 05:13:25
O000187,C00992,P0021,3,270.66,USD,UK,CANCELLED,Net Banking,2026-04-28 09:14:25
O000188,C00276,P0369,1,187.25,INR,USA,CANCELLED,Credit Card,2026-04-10 08:33:25
O000189,C01015,P0330,5,400.96,USD,UK,CANCELLED,Debit Card,2026-03-12 11:16:25
O000190,C01424,P0286,4,435.86,GBP,Germany,CANCELLED,UPI,2026-05-01 17:36:25
O000191,C00374,P0234,4,130.33,INR,Canada,PENDING,PayPal,2026-04-08 23:22:25
O000192,C01412,P0402,4,224.29,USD,Germany,PENDING,Net Banking,2026-04-06 20:35:25
O000193,C00942,P0498,5,327.73,USD,Germany,PENDING,Credit Card,2026-04-20 18:30:25
O000194,C00550,P0456,4,480.22,INR,Canada,CANCELLED,Net Banking,2026-04-20 21:36:25
O000195,C00146,P0399,2,233.72,EUR,India,CANCELLED,Credit Card,2026-02-26 00:46:25
O000196,C01142,P0342,4,264.52,INR,UK,CANCELLED,Net Banking,2026-04-22 18:42:25
O000197,C01421,P0327,4,488.84,INR,Germany,PENDING,Net Banking,2026-02-24 11:23:25
O000198,C01378,P0239,4,401.5,INR,Germany,CANCELLED,PayPal,2026-03-27 23:09:25
O000199,C00403,P0331,5,69.3,INR,UK,COMPLETED,Credit Card,2026-04-30 20:11:25
O000200,C00415,P0017,5,288.7,INR,Germany,COMPLETED,PayPal,2026-04-05 01:16:25
O000201,C00206,P0096,1,201.25,INR,India,PENDING,Credit Card,2026-04-03 21:00:25
O000202,C01020,P0295,5,175.32,GBP,UK,PENDING,Debit Card,2026-03-28 01:33:25
O000203,C00023,P0033,2,59.25,EUR,India,CANCELLED,Credit Card,2026-02-12 20:28:25
O000204,C00733,P0425,4,238.3,INR,USA,COMPLETED,Credit Card,2026-04-20 16:59:25
O000205,C01169,P0335,4,237.64,EUR,India,PENDING,UPI,2026-03-09 04:12:25
O000206,C00596,P0496,2,57.88,USD,UK,CANCELLED,Credit Card,2026-03-15 01:25:25
O000207,C01447,P0402,5,107.78,USD,USA,COMPLETED,Net Banking,2026-02-23 02:24:25
O000208,C01421,P0217,3,407.67,EUR,Germany,PENDING,Debit Card,2026-02-10 01:27:25
O000209,C00518,P0086,5,201.86,INR,India,CANCELLED,PayPal,2026-02-11 20:19:25
O000210,C00227,P0225,1,214.2,INR,Canada,COMPLETED,Debit Card,2026-02-14 04:29:25
O000211,C00177,P0098,5,60.64,GBP,Canada,CANCELLED,Credit Card,2026-05-11 03:00:25
O000212,C00641,P0438,4,169.96,USD,India,CANCELLED,Credit Card,2026-02-12 16:17:25
O000213,C00838,P0498,3,160.26,INR,Canada,CANCELLED,Net Banking,2026-05-10 07:47:25
O000214,C00598,P0001,1,231.22,INR,Canada,CANCELLED,Debit Card,2026-02-25 11:31:25
O000215,C01371,P0011,5,352.2,GBP,USA,CANCELLED,UPI,2026-04-04 12:22:25
O000216,C00094,P0191,4,102.24,INR,Germany,CANCELLED,Credit Card,2026-02-12 20:20:25
O000217,C00978,P0356,1,467.74,INR,Germany,PENDING,Credit Card,2026-03-02 04:14:25
O000218,C01073,P0368,4,24.63,GBP,Germany,PENDING,Net Banking,2026-02-24 15:59:25
O000219,C00721,P0414,3,485.41,EUR,Germany,COMPLETED,Debit Card,2026-04-05 02:12:25
O000220,C00023,P0320,2,115.15,INR,USA,PENDING,PayPal,2026-03-22 21:29:25
O000221,C01179,P0177,1,256.96,INR,USA,CANCELLED,Credit Card,2026-05-08 17:32:25
O000222,C00608,P0179,1,409.78,USD,Canada,PENDING,Credit Card,2026-03-24 17:24:25
O000223,C00470,P0375,2,373.59,EUR,Germany,PENDING,PayPal,2026-03-26 04:44:25
O000224,C00906,P0300,2,306.3,USD,USA,PENDING,PayPal,2026-03-06 10:18:25
O000225,C00109,P0413,1,243.89,EUR,USA,PENDING,PayPal,2026-05-05 21:52:25
O000226,C00845,P0077,4,16.47,USD,USA,COMPLETED,Net Banking,2026-03-11 15:37:25
O000227,C00785,P0414,1,454.5,EUR,USA,PENDING,UPI,2026-04-17 04:21:25
O000228,C00661,P0142,2,261.24,EUR,India,PENDING,Net Banking,2026-04-07 02:41:25
O000229,C00346,P0078,1,142.96,INR,Canada,COMPLETED,UPI,2026-04-08 12:11:25
O000230,C01385,P0114,5,97.88,INR,Canada,CANCELLED,Net Banking,2026-02-15 18:01:25
O000231,C01407,P0208,2,299.49,GBP,Canada,COMPLETED,PayPal,2026-03-24 03:40:25
O000232,C00124,P0083,1,149.74,GBP,UK,COMPLETED,Debit Card,2026-03-17 18:47:25
O000233,C01252,P0240,1,494.28,GBP,Canada,COMPLETED,PayPal,2026-03-30 17:35:25
O000234,C01076,P0175,4,54.1,EUR,USA,CANCELLED,Net Banking,2026-02-28 16:36:25
O000235,C01337,P0262,5,90.78,EUR,USA,CANCELLED,Net Banking,2026-05-07 22:12:25
O000236,C00667,P0486,5,165.51,INR,Germany,PENDING,Debit Card,2026-03-16 13:47:25
O000237,C01456,P0115,5,255.68,USD,UK,COMPLETED,UPI,2026-03-23 17:33:25
O000238,C00890,P0027,5,431.44,USD,USA,CANCELLED,Debit Card,2026-02-12 06:32:25
O000239,C00253,P0263,1,144.67,GBP,USA,COMPLETED,UPI,2026-03-31 03:19:25
O000240,C00329,P0111,2,61.14,USD,USA,CANCELLED,Credit Card,2026-04-26 06:28:25
O000241,C00413,P0420,4,477.49,EUR,Germany,CANCELLED,UPI,2026-02-17 22:36:25
O000242,C00891,P0289,3,291.74,EUR,India,COMPLETED,UPI,2026-05-04 21:22:25
O000243,C00843,P0336,4,346.0,INR,USA,COMPLETED,Net Banking,2026-05-07 23:35:25
O000244,C01055,P0431,5,75.84,INR,USA,PENDING,Net Banking,2026-04-20 02:54:25
O000245,C01375,P0360,4,432.86,USD,Canada,COMPLETED,Debit Card,2026-04-26 13:21:25
O000246,C00839,P0325,5,242.26,EUR,UK,COMPLETED,Net Banking,2026-04-29 15:07:25
O000247,C00486,P0062,4,92.26,USD,Germany,CANCELLED,UPI,2026-03-01 00:29:25
O000248,C00761,P0060,2,45.72,USD,India,COMPLETED,Net Banking,2026-03-17 08:35:25
O000249,C00194,P0171,2,126.91,EUR,India,COMPLETED,Debit Card,2026-03-03 04:20:25
O000250,C00087,P0134,5,434.17,USD,Germany,PENDING,Debit Card,2026-03-22 23:54:25
O000251,C00778,P0454,4,157.65,INR,India,PENDING,Credit Card,2026-04-06 19:48:25
O000252,C00765,P0379,2,314.55,INR,Canada,CANCELLED,PayPal,2026-02-15 19:42:25
O000253,C00767,P0189,3,61.25,USD,India,PENDING,Credit Card,2026-02-27 09:18:25
O000254,C00149,P0192,1,216.08,INR,UK,COMPLETED,Credit Card,2026-04-01 09:08:25
O000255,C00798,P0101,1,443.62,INR,USA,PENDING,Debit Card,2026-03-03 05:35:25
O000256,C00875,P0295,5,82.83,EUR,Germany,PENDING,Net Banking,2026-03-26 07:07:25
O000257,C01084,P0407,3,196.18,GBP,Germany,COMPLETED,Net Banking,2026-04-30 13:15:25
O000258,C00214,P0171,3,469.26,USD,UK,PENDING,Net Banking,2026-04-23 10:38:25
O000259,C01475,P0315,3,197.43,GBP,UK,COMPLETED,Net Banking,2026-03-01 15:53:25
O000260,C00258,P0154,4,136.54,USD,Canada,COMPLETED,Debit Card,2026-02-20 13:46:25
O000261,C01091,P0167,4,325.3,EUR,UK,CANCELLED,Net Banking,2026-03-15 13:34:25
O000262,C00800,P0163,5,346.97,EUR,Canada,COMPLETED,Debit Card,2026-02-12 08:19:25
O000263,C01146,P0087,3,313.24,INR,Germany,COMPLETED,Debit Card,2026-03-24 08:02:25
O000264,C00911,P0447,2,139.86,GBP,Canada,COMPLETED,UPI,2026-02-16 01:06:25
O000265,C01249,P0494,3,134.63,EUR,UK,CANCELLED,UPI,2026-04-06 22:57:25
O000266,C00197,P0282,5,331.9,USD,UK,CANCELLED,UPI,2026-04-06 08:40:25
O000267,C00571,P0458,2,350.27,USD,Germany,CANCELLED,UPI,2026-04-24 03:14:25
O000268,C01202,P0081,5,265.86,USD,Germany,CANCELLED,Net Banking,2026-02-27 22:17:25
O000269,C00980,P0237,1,448.91,EUR,Canada,COMPLETED,Debit Card,2026-04-09 04:36:25
O000270,C00085,P0126,5,172.49,GBP,UK,COMPLETED,Net Banking,2026-03-12 05:35:25
O000271,C00782,P0340,1,472.42,INR,Canada,CANCELLED,Credit Card,2026-03-26 14:38:25
O000272,C01112,P0312,2,71.56,INR,India,COMPLETED,PayPal,2026-05-03 17:26:25
O000273,C00363,P0388,5,76.63,USD,USA,CANCELLED,Credit Card,2026-03-25 21:58:25
O000274,C00783,P0284,1,217.97,INR,USA,PENDING,UPI,2026-04-23 00:08:25
O000275,C00922,P0347,5,258.24,EUR,USA,COMPLETED,UPI,2026-03-24 08:32:25
O000276,C00721,P0435,2,386.89,GBP,Germany,COMPLETED,UPI,2026-02-20 10:05:25
O000277,C01071,P0271,4,104.65,GBP,India,CANCELLED,PayPal,2026-03-22 22:32:25
O000278,C00473,P0137,3,469.23,USD,USA,PENDING,UPI,2026-04-07 08:47:25
O000279,C00969,P0030,1,228.4,INR,India,PENDING,Credit Card,2026-04-12 20:07:25
O000280,C01118,P0222,3,259.56,INR,Germany,PENDING,UPI,2026-04-03 22:52:25
